System,Compound_ID,PROTAC,Ligase_Warhead,Target_Warhead
crbn-bclxl,670,C[N@H+](CCOCCOCCOCCNc1cccc2c1C(=O)N([C@@H]1CCC(=O)NC1=O)C2=O)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CC[NH+](CC4=C(c5ccc(Cl)cc5)CCC(C)(C)C4)CC3)cc2)cc1S(=O)(=O)C(F)(F)F,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,C[NH2+]CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CC[NH+](CC4=C(c5ccc(Cl)cc5)CCC(C)(C)C4)CC3)cc2)cc1S(=O)(=O)C(F)(F)F
crbn-bclxl,671,C[N@@H+](CCOCCOCCOCCOCCNc1cccc2c1C(=O)N([C@@H]1CCC(=O)NC1=O)C2=O)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CC[NH+](CC4=C(c5ccc(Cl)cc5)CCC(C)(C)C4)CC3)cc2)cc1S(=O)(=O)C(F)(F)F,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,C[NH2+]CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CC[NH+](CC4=C(c5ccc(Cl)cc5)CCC(C)(C)C4)CC3)cc2)cc1S(=O)(=O)C(F)(F)F
crbn-brd4bd1,dBET01,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=[NH+][C@@H](CC(=O)NCCCCNC(=O)COc1cccc3c1C(=O)N([C@@H]1CCC(=O)NC1=O)C3=O)c1nnc(C)n1-2,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=[NH+]Cc1nnc(C)n1-2
crbn-brd4bd1,dBET06,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=[NH+][C@@H](CC(=O)NCCCCCCCCNC(=O)COc1cccc3c1C(=O)N([C@@H]1CCC(=O)NC1=O)C3=O)c1nnc(C)n1-2,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=[NH+]Cc1nnc(C)n1-2
crbn-brd4bd1,dBET23,COC(=O)C[C@@H]1[NH+]=C(c2ccc(Cl)cc2)c2c(sc(C(=O)NCCCCCCCCNC(=O)COc3cccc4c3C(=O)N([C@@H]3CCC(=O)NC3=O)C4=O)c2C)-n2c(C)nnc21,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,COC(=O)C[C@@H]1[NH+]=C(c2ccc(Cl)cc2)c2c(C)csc2-n2c(C)nnc21
crbn-brd4bd1,dBET57,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCNc1cccc3c1C(=O)N([C@@H]1CCC(=O)NC1=O)C3=O)c1nnc(C)n1-2,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=[NH+]Cc1nnc(C)n1-2
crbn-brd4bd1,dBET70,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=[NH+][C@@H](CC(=O)NCCCCCCCCNc1cccc3c1C(=O)N([C@@H]1CCC(=O)NC1=O)C3=O)c1nnc(C)n1-2,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=[NH+]Cc1nnc(C)n1-2
crbn-brd4bd1,ZXH-3-26,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=[NH+][C@@H](CC(=O)NCCCCCNc1cccc3c1C(=O)N([C@@H]1CCC(=O)NC1=O)C3=O)c1nnc(C)n1-2,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=[NH+]Cc1nnc(C)n1-2
crbn-smarca2,3101,Nc1nnc(-c2ccccc2O)cc1N1CCN(c2cccc(C[NH+]3CCN(C(=O)C4CCN(c5ccc6c(c5)C(=O)N([C@@H]5CCC(=O)NC5=O)C6=O)CC4)CC3)c2)C2(CC2)C1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Nc1cc(-c2ccccc2O)nnc1N
crbn-smarca2,3102,Nc1nnc(-c2ccccc2O)cc1N1C[C@H]2CC[C@@H](C1)N2c1cccc(OCCN2CC[NH+](CC3CCN(c4ccc5c(c4)C(=O)N([C@@H]4CCC(=O)NC4=O)C5=O)CC3)CC2)c1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Nc1cc(-c2ccccc2O)nnc1N
crbn-smarca2,3103,Nc1nnc(-c2ccccc2O)cc1N1C[C@H]2CC[C@@H](C1)N2c1cccc(OCCN2CC[NH+](CCCC3CCN(c4ccc5c(c4)C(=O)N([C@@H]4CCC(=O)NC4=O)C5=O)CC3)CC2)c1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Nc1cc(-c2ccccc2O)nnc1N
crbn-smarca2,3104,Nc1nnc(-c2ccccc2O)cc1N1CC(Oc2cccc(CN3CCN(C(=O)C[N@H+]4CC[C@H](c5ccc(N[C@@H]6CCC(=O)NC6=O)cc5)CC4)CC3)c2)C1,O=C1CC[C@@H](Nc2ccccc2)C(=O)N1,Nc1cc(-c2ccccc2O)nnc1N
crbn-smarca2,3105,Nc1nnc(-c2cc(F)ccc2O)cc1N1C[C@H]2CC[C@@H](C1)N2c1cccc(C[NH+]2CCN(C(=O)C3CCN(c4ccc5c(c4)C(=O)N([C@@H]4CCC(=O)NC4=O)C5=O)CC3)CC2)c1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Nc1cc(-c2cc(F)ccc2O)nnc1N
crbn-smarca2,3106,Nc1nnc(-c2ccccc2O)cc1N1CCC(C(=O)N2CCC(C(=O)N3CCN(c4ccc([C@H]5CCC(=O)NC5=O)cc4)CC3)CC2)(c2ccccc2)CC1,O=C1CC[C@H](c2ccccc2)C(=O)N1,Nc1cc(-c2ccccc2O)nnc1N
vhl-egfr-L858R-T790M,576,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C(=O)CCCCCCCCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCc6ccc(-c7scnc7C)cc6)C(C)(C)C)CC5)cc4OC)nc32)c1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccccc4OC)nc32)c1
vhl-egfr-L858R-T790M,577,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CC[NH+](CCCCCCCCCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCc6ccc(-c7scnc7C)cc6)C(C)(C)C)CC5)cc4OC)nc32)c1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccccc4OC)nc32)c1
vhl-egfr-L858R-T790M,581,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C(=O)CCCCCCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCc6ccc(-c7scnc7C)cc6)C(C)(C)C)CC5)cc4OC)nc32)c1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccccc4OC)nc32)c1
vhl-egfr-L858R-T790M,582,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C(=O)CCCCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCc6ccc(-c7scnc7C)cc6)C(C)(C)C)CC5)cc4OC)nc32)c1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccccc4OC)nc32)c1
vhl-egfr-L858R-T790M,583,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C(=O)CCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCc6ccc(-c7scnc7C)cc6)C(C)(C)C)CC5)cc4OC)nc32)c1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccccc4OC)nc32)c1
vhl-egfr-L858R-T790M,584,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CC[NH+](CCCCCCCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCc6ccc(-c7scnc7C)cc6)C(C)(C)C)CC5)cc4OC)nc32)c1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccccc4OC)nc32)c1
vhl-egfr-L858R-T790M,585,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CC[NH+](CCCCCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCc6ccc(-c7scnc7C)cc6)C(C)(C)C)CC5)cc4OC)nc32)c1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccccc4OC)nc32)c1
vhl-egfr-L858R-T790M,586,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CC[NH+](CCCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCc6ccc(-c7scnc7C)cc6)C(C)(C)C)CC5)cc4OC)nc32)c1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccccc4OC)nc32)c1
vhl-egfr-L858R-T790M,587,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CC[NH+](CCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCc6ccc(-c7scnc7C)cc6)C(C)(C)C)CC5)cc4OC)nc32)c1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccccc4OC)nc32)c1
crbn-hdac8,3193,O=C1CC[C@@H](N2C(=O)c3cccc(NCCCCCCCCCCCNC(=O)c4ccc(SCc5cn(-c6cccc(C(=O)N[O-])c6)nn5)cc4)c3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C(NO)c1cccc(-n2cc(CSc3ccccc3)nn2)c1
crbn-hdac8,4033,COc1ccc(C(=O)[O-])cc1OCc1ccc(C(=O)NCCNc2cccc3c2C(=O)N([C@@H]2CCC(=O)NC2=O)C3=O)cc1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,COc1ccc(C(=O)[O-])cc1OCc1ccccc1
crbn-hdac8,4034,COc1ccc(C(=O)[O-])cc1OCc1ccc(C(=O)NCCCCNc2cccc3c2C(=O)N([C@@H]2CCC(=O)NC2=O)C3=O)cc1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,COc1ccc(C(=O)[O-])cc1OCc1ccccc1
crbn-hdac8,4035,COc1ccc(C(=O)[O-])cc1OCc1ccc(C(=O)NCCCCCCNc2cccc3c2C(=O)N([C@@H]2CCC(=O)NC2=O)C3=O)cc1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,COc1ccc(C(=O)[O-])cc1OCc1ccccc1
crbn-hdac8,4036,COc1ccc(C(=O)[O-])cc1OCc1ccc(C(=O)NCCCCCCCCNc2cccc3c2C(=O)N([C@@H]2CCC(=O)NC2=O)C3=O)cc1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,COc1ccc(C(=O)[O-])cc1OCc1ccccc1
crbn-hdac8,4600,O=C1CC[C@@H](N2C(=O)c3cccc(NCc4cn(CCCOc5ccc(Cn6ccc7ccc(C(=O)N[O-])cc76)cc5)nn4)c3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C(NO)c1ccc2ccn(Cc3ccccc3)c2c1
crbn-hdac8,4601,O=C1CC[C@@H](N2C(=O)c3cccc(NCc4cn(CCCCOc5ccc(Cn6ccc7ccc(C(=O)N[O-])cc76)cc5)nn4)c3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C(NO)c1ccc2ccn(Cc3ccccc3)c2c1
crbn-hdac8,4602,O=C1CC[C@@H](N2C(=O)c3cccc(NCc4cn(CCCCCOc5ccc(Cn6ccc7ccc(C(=O)N[O-])cc76)cc5)nn4)c3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C(NO)c1ccc2ccn(Cc3ccccc3)c2c1
crbn-hdac8,4603,O=C1CC[C@@H](N2C(=O)c3cccc(NCc4cn(CCCCCCOc5ccc(Cn6ccc7ccc(C(=O)N[O-])cc76)cc5)nn4)c3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C(NO)c1ccc2ccn(Cc3ccccc3)c2c1
crbn-hdac8,4604,O=C1CC[C@@H](N2C(=O)c3cccc(NCc4cn(CCOCCOc5ccc(Cn6ccc7ccc(C(=O)N[O-])cc76)cc5)nn4)c3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C(NO)c1ccc2ccn(Cc3ccccc3)c2c1
crbn-hdac8,4605,O=C1CC[C@@H](N2C(=O)c3cccc(NCc4cn(CCOCCOCCOc5ccc(Cn6ccc7ccc(C(=O)N[O-])cc76)cc5)nn4)c3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C(NO)c1ccc2ccn(Cc3ccccc3)c2c1
crbn-hdac8,4606,O=C1CC[C@@H](N2C(=O)c3cccc(NCc4cn(CCOCCOCCOCCOc5ccc(Cn6ccc7ccc(C(=O)N[O-])cc76)cc5)nn4)c3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C(NO)c1ccc2ccn(Cc3ccccc3)c2c1
crbn-hdac8,4607,O=C1CC[C@@H](N2C(=O)c3cccc(NCc4cn(CCOCCOCCOCCOCCOc5ccc(Cn6ccc7ccc(C(=O)N[O-])cc76)cc5)nn4)c3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C(NO)c1ccc2ccn(Cc3ccccc3)c2c1
crbn-hdac8,4608,O=C1CC[C@@H](N2C(=O)c3cccc(NCCc4cn(CCCCCOc5ccc(Cn6ccc7ccc(C(=O)N[O-])cc76)cc5)nn4)c3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C(NO)c1ccc2ccn(Cc3ccccc3)c2c1
crbn-hdac8,4609,O=C1CC[C@@H](N2C(=O)c3cccc(NCCc4cn(CCOCCOc5ccc(Cn6ccc7ccc(C(=O)N[O-])cc76)cc5)nn4)c3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C(NO)c1ccc2ccn(Cc3ccccc3)c2c1
crbn-hdac8,5394,O=C(CCCCOc1ccc(CCNC(=O)c2cccc(C(=O)N[O-])c2)cc1)NCCCCCCNc1cccc2c1C(=O)N([C@@H]1CCC(=O)NC1=O)C2=O,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C(NO)c1cccc(C(=O)NCCc2ccccc2)c1
crbn-hdac8,5402,O=C1CC[C@@H](N2C(=O)c3cccc(N4CCC(N5CCN(C(=O)CCCCOc6ccc(CCNC(=O)c7cccc(C(=O)N[O-])c7)cc6)CC5)CC4)c3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C(NO)c1cccc(C(=O)NCCc2ccccc2)c1
crbn-hdac8,5406,O=C(CCCCOc1ccc(CCNC(=O)c2cccc(C(=O)N[O-])c2)cc1)NCCCCCCNc1ccc2c(c1)C(=O)N([C@@H]1CCC(=O)NC1=O)C2=O,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C(NO)c1cccc(C(=O)NCCc2ccccc2)c1
vhl-smarca4,796,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)c(OCCOCCOCC[NH+]2CCN(c3cc(-c4ccccc4O)nnc3N)CC2)c1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)cc1,Nc1nnc(-c2ccccc2O)cc1N1CC[NH2+]CC1
vhl-smarca4,797,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)c(OCCc2ccc(C[NH+]3CCN(c4cc(-c5ccccc5O)nnc4N)CC3)cc2)c1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)cc1,Nc1nnc(-c2ccccc2O)cc1N1CC[NH2+]CC1
vhl-smarca4,798,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)c(OCCOc2ccc(C[NH+]3CCN(c4cc(-c5ccccc5O)nnc4N)CC3)cc2)c1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)cc1,Nc1nnc(-c2ccccc2O)cc1N1CC[NH2+]CC1
vhl-smarca4,p1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)c(OCCCCCCC[NH+]2CCN(c3cc(-c4ccccc4O)nnc3N)CC2)c1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)cc1,Nc1nnc(-c2ccccc2O)cc1N1CC[NH2+]CC1
vhl-smarca4,p2,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)c(OCCc2ccc(C[NH+]3CCN(c4cc(-c5ccccc5O)nnc4N)CC3)cc2)c1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)cc1,Nc1nnc(-c2ccccc2O)cc1N1CC[NH2+]CC1
vhl-smarca4,p3,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)c(OCCCOCC[NH+]2CCN(c3cc(-c4ccccc4O)nnc3N)CC2)c1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)cc1,Nc1nnc(-c2ccccc2O)cc1N1CC[NH2+]CC1
vhl-smarca4,p4,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)c(OCCCCOCC[NH+]2CCN(c3cc(-c4ccccc4O)nnc3N)CC2)c1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)cc1,Nc1nnc(-c2ccccc2O)cc1N1CC[NH2+]CC1
